item_id,title,transcript_url,recording_year,branch,download_status,local_path
afc2001001_23434,Henry W. Andrasovsky Collection,https://tile.loc.gov/storage-services/service/vhp/0234/023434/sr0001.xml,2005,marine corps,ok,data\vhp_transcripts\afc2001001_23434.xml
afc2001001_27765,Edward W. Weiss Collection,https://tile.loc.gov/storage-services/service/vhp/0277/027765/sr0001.xml,2005,army,ok,data\vhp_transcripts\afc2001001_27765.xml
afc2001001_07699,Harold F. Parsons Collection,https://tile.loc.gov/storage-services/service/vhp/0076/007699/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_07699.xml
afc2001001_01698,Jack H. Good Collection,https://tile.loc.gov/storage-services/service/vhp/0016/001698/sr0001.xml,2002,navy,ok,data\vhp_transcripts\afc2001001_01698.xml
afc2001001_07605,Robert D. Farren Collection,https://tile.loc.gov/storage-services/service/vhp/0076/007605/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_07605.xml
afc2001001_27522,Betty J. Hoffman Collection,https://tile.loc.gov/storage-services/service/vhp/0275/027522/sr0001.xml,2005,army nurse corps,ok,data\vhp_transcripts\afc2001001_27522.xml
afc2001001_19084,Robert S. Storms Collection,https://tile.loc.gov/storage-services/service/vhp/0190/019084/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_19084.xml
afc2001001_19006,Edward A. D'Alessandro Collection,https://tile.loc.gov/storage-services/service/vhp/0190/019006/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_19006.xml
afc2001001_48879,Ralph E. Baker Collection,https://tile.loc.gov/storage-services/service/vhp/0488/048879/mv0001.xml,2007,army,ok,data\vhp_transcripts\afc2001001_48879.xml
afc2001001_03547,Charles K. Rockow Collection,https://tile.loc.gov/storage-services/service/vhp/0035/003547/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_03547.xml
afc2001001_20436,Joseph John Dvorabic Collection,https://tile.loc.gov/storage-services/service/vhp/0204/020436/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_20436.xml
afc2001001_11291,Charles Balaza Collection,https://tile.loc.gov/storage-services/service/vhp/0112/011291/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_11291.xml
afc2001001_20422,James W. Anderson Collection,https://tile.loc.gov/storage-services/service/vhp/0204/020422/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_20422.xml
afc2001001_11308,Tom Shimrock Collection,https://tile.loc.gov/storage-services/service/vhp/0113/011308/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_11308.xml
afc2001001_19088,Edmund B. Storms Collection,https://tile.loc.gov/storage-services/service/vhp/0190/019088/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_19088.xml
afc2001001_00110,Steve A. Kallas Collection,https://tile.loc.gov/storage-services/service/vhp/0001/000110/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00110.xml
afc2001001_11904,Mimi Lesser Collection,https://tile.loc.gov/storage-services/service/vhp/0119/011904/tx0001.xml,2005,unknown,ok,data\vhp_transcripts\afc2001001_11904.xml
afc2001001_07705,Chester Michael Matyjasik Collection,https://tile.loc.gov/storage-services/service/vhp/0077/007705/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_07705.xml
afc2001001_09559,Robert George Yuhas Collection,https://tile.loc.gov/storage-services/service/vhp/0095/009559/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_09559.xml
afc2001001_20408,Eugene M. Laubach Collection,https://tile.loc.gov/storage-services/service/vhp/0204/020408/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_20408.xml
afc2001001_24082,George Yaworski Collection,https://tile.loc.gov/storage-services/service/vhp/0240/024082/sr0001.xml,2005,coast guard,ok,data\vhp_transcripts\afc2001001_24082.xml
afc2001001_00236,Ray L. Haserodt Collection,https://tile.loc.gov/storage-services/service/vhp/0002/000236/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00236.xml
afc2001001_20723,Andrew Michael Kolenic Collection,https://tile.loc.gov/storage-services/service/vhp/0207/020723/sr0001.xml,2004,army air forces/corps,ok,data\vhp_transcripts\afc2001001_20723.xml
afc2001001_07676,Tom S. Belovich Collection,https://tile.loc.gov/storage-services/service/vhp/0076/007676/sr0001.xml,2003,air force,ok,data\vhp_transcripts\afc2001001_07676.xml
afc2001001_24544,Robert J. Turner Collection,https://tile.loc.gov/storage-services/service/vhp/0245/024544/sr0001.xml,2005,coast guard,ok,data\vhp_transcripts\afc2001001_24544.xml
afc2001001_04962,Steve M. Hegedus Collection,https://tile.loc.gov/storage-services/service/vhp/0049/004962/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_04962.xml
afc2001001_01523,Bernard Clare Digman Collection,https://tile.loc.gov/storage-services/service/vhp/0015/001523/sr0001.xml,2002,navy,ok,data\vhp_transcripts\afc2001001_01523.xml
afc2001001_52743,Dale Edward Wolf Collection,https://tile.loc.gov/storage-services/service/vhp/0527/052743/mv0001.xml,2008,army,ok,data\vhp_transcripts\afc2001001_52743.xml
afc2001001_57091,Raymond S. Kennard Collection,https://tile.loc.gov/storage-services/service/vhp/0570/057091/sr0001.xml,2008,navy,ok,data\vhp_transcripts\afc2001001_57091.xml
afc2001001_12404,William E. Schneider Collection,https://tile.loc.gov/storage-services/service/vhp/0124/012404/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_12404.xml
afc2001001_05230,Joseph F. Perrotti Collection,https://tile.loc.gov/storage-services/service/vhp/0052/005230/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_05230.xml
afc2001001_20421,Frank Girman Collection,https://tile.loc.gov/storage-services/service/vhp/0204/020421/sr0001.xml,2004,air force,ok,data\vhp_transcripts\afc2001001_20421.xml
